date,usd_to_ngn_rate,ngn_to_usd_rate
2022-02-02,415.33,0.002407723978523102
2022-02-03,415.54,0.0024065071954565143
2022-02-04,415.7,0.0024055809477988937
2022-02-07,415.88,0.0024045397710878136
2022-02-08,416.05,0.0024035572647518326
2022-02-09,416.25,0.0024024024024024023
2022-02-10,416.37,0.002401710017532483
2022-02-11,416.51,0.002400902739430026
2022-02-14,415.91,0.002404366329253925
2022-02-15,415.31,0.0024078399268016664
2022-02-16,415.31,0.0024078399268016664
2022-02-17,415.37,0.002407492115463322
2022-02-18,415.37,0.002407492115463322
2022-02-21,415.37,0.002407492115463322
2022-02-22,415.39,0.0024073762006788803
2022-02-23,415.39,0.0024073762006788803
2022-02-24,415.39,0.0024073762006788803
2022-02-25,415.39,0.0024073762006788803
2022-02-28,415.52,0.0024066230265691185
2022-03-01,415.59,0.0024062176664501073
2022-03-02,415.59,0.0024062176664501073
2022-03-03,415.46,0.002406970586819429
2022-03-04,415.41,0.0024072602970559207
2022-03-07,415.27,0.002408071856864209
2022-03-08,415.34,0.002407666008571291
2022-03-09,415.34,0.002407666008571291
2022-03-10,415.34,0.002407666008571291
2022-03-11,415.34,0.002407666008571291
2022-03-14,415.3,0.0024078979051288226
2022-03-15,415.45,0.002407028523288001
2022-03-16,415.42,0.002407202349429493
2022-03-17,415.42,0.002407202349429493
2022-03-18,415.42,0.002407202349429493
2022-03-21,415.39,0.0024073762006788803
2022-03-22,415.32,0.0024077819512664934
2022-03-23,415.25,0.002408187838651415
2022-03-24,415.25,0.002408187838651415
2022-03-25,415.25,0.002408187838651415
2022-03-28,415.23,0.002408303831611396
2022-03-29,415.253,0.002408170440671109
2022-03-30,415.25,0.002408187838651415
2022-03-31,415.25,0.002408187838651415
2022-04-01,415.22,0.002408361832281682
2022-04-04,415.22,0.002408361832281682
2022-04-05,415.22,0.002408361832281682
2022-04-06,415.22,0.002408361832281682
2022-04-07,415.15,0.0024087679152113694
2022-04-08,415.15,0.0024087679152113694
2022-04-11,415.12,0.002408941992676816
2022-04-12,414.09,0.002414933951556425
2022-04-13,414.08,0.0024149922720247295
2022-04-14,414.03,0.0024152839166243995
2022-04-15,414.02,0.0024153422539973917
2022-04-18,414.0,0.0024154589371980675
2022-04-19,414.0,0.0024154589371980675
2022-04-20,415.0,0.0024096385542168677
2022-04-21,415.08,0.0024091741351064855
2022-04-22,415.08,0.0024091741351064855
2022-04-25,414.08,0.0024149922720247295
2022-04-26,414.98,0.0024097546869728662
2022-04-27,414.92,0.0024101031524149234
2022-04-28,414.83,0.0024106260395824796
2022-04-29,414.76,0.002411032886488572
2022-05-02,414.69,0.0024114398707468228
2022-05-03,414.69,0.0024114398707468228
2022-05-04,414.69,0.0024114398707468228
2022-05-05,414.62,0.0024118469924268005
2022-05-06,414.69,0.0024114398707468228
2022-05-09,414.8,0.0024108003857280617
2022-05-10,413.83,0.0024164511997680207
2022-05-11,413.83,0.0024164511997680207
2022-05-12,414.83,0.0024106260395824796
2022-05-13,414.76,0.002411032886488572
2022-05-16,414.75,0.0024110910186859553
2022-05-17,414.75,0.0024110910186859553
2022-05-18,414.68,0.0024114980225716214
